time	 x	 y	 z
0.00012230873107910156	0.011950016	0.41156197	0.13252711
0.0008401870727539062	0.011950016	0.41156197	0.13252711
0.0032050609588623047	-0.08458376	0.14096212	0.043259382
0.003244161605834961	-0.110619545	0.24084616	0.021409512
0.0034503936767578125	-0.11987686	0.16129589	-0.108397484
0.004160165786743164	-0.11987686	0.16129589	-0.108397484
0.005221843719482422	-0.12065506	-0.041124344	0.10008454
0.006453514099121094	-0.12790537	-0.09566116	0.14283013
0.006779670715332031	-0.12790537	-0.09566116	0.14283013
0.007854938507080078	-0.10696411	0.1709981	0.55585456
0.008774995803833008	-0.11695242	0.16817951	0.5702088
0.012161731719970703	-0.11695242	0.16817951	0.5702088
0.012197256088256836	-0.18154573	0.19550276	0.4590776
0.012220144271850586	-0.18154573	0.19550276	0.4590776
0.012398242950439453	-0.2707615	0.18778372	0.30449963
0.013251066207885742	-0.14818239	0.2645359	-0.0059604645
0.013822555541992188	-0.14818239	0.2645359	-0.0059604645
0.014635562896728516	-0.11854601	0.27439117	0.120756626
0.015522480010986328	0.087313175	0.20699167	-0.00430727
0.016292572021484375	0.087313175	0.20699167	-0.00430727
0.016915559768676758	0.069850445	0.13421202	-0.0034458637
0.017901182174682617	-0.08709717	0.048238277	0.004070759
0.018701791763305664	-0.08709717	0.048238277	0.004070759
0.01951122283935547	-0.16382122	0.1327343	0.034637928
0.020608186721801758	-0.25459003	-0.2270236	0.070455074
0.021242141723632812	-0.25459003	-0.2270236	0.070455074
0.0218961238861084	-0.25459003	-0.2270236	0.070455074
0.02288198471069336	-0.012307644	-0.18295288	0.16434026
0.023529052734375	-0.012307644	-0.18295288	0.16434026
0.024305105209350586	-0.009845734	-0.05221796	0.2883786
0.02524566650390625	0.18198633	0.04817152	0.15318108
0.02587413787841797	0.18198633	0.04817152	0.15318108
0.026854515075683594	0.08509064	-5.517006E-4	-0.09652817
0.027506351470947266	0.08509064	-5.517006E-4	-0.09652817
0.02865457534790039	0.099453926	-0.03182268	-0.077222586
0.029620885848999023	-0.03676939	-0.014090061	-0.13101363
0.030274391174316406	-0.03676939	-0.014090061	-0.13101363
0.031050443649291992	-0.029415607	0.020109177	-0.010667086
0.0320279598236084	0.0627656	0.06308031	-0.07586551
0.03272843360900879	0.0627656	0.06308031	-0.07586551
0.033493757247924805	0.05021286	-0.07506037	-0.02931118
0.03430318832397461	0.2267003	-0.05431509	-0.006206751
0.034976959228515625	0.2267003	-0.05431509	-0.006206751
0.03562211990356445	0.2755041	0.050691605	0.057797194
0.03655195236206055	0.28301907	0.0010614395	0.055819035
0.037245988845825195	0.28301907	0.0010614395	0.055819035
0.03837108612060547	0.32055902	-0.03053236	-0.11225128
0.039943695068359375	0.14278746	-0.1913681	-0.42651653
0.04097175598144531	0.11422968	-0.24723816	-0.4981196
0.04137706756591797	0.11422968	-0.24723816	-0.4981196
